^No^Hostname^Role^System Backup^Model^Ser No.^Location^Rack^Virtual^Virtualization^Physical Host^AppName^Landscape^Contacts^
|1 | taprvio18  |VIO UNIX Infrastructure Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |  |VIOS31  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|2 | taprvio19  |VIO UNIX Infrastructure Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |  |VIOS31  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|3 | taprvio7 |  |  |  |  |  |  |  |  |  |  |  | | 
|4 | taprvio15  |AIX Virtualization  |pgnmsv01  |  |  |Lincolnshire  |  |  |powervm/vmware  |  |VIOS140  |  | GIOS Unix contractors | 
|5 | taprvio17  |VIO UNIX Infrastructure Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |  |VIOS31  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|6 | taprvio16  |provides virtualization to Power8 AIX systems   |pgnmsv01  |  |  |Lincolnshire  |UNIX Rack #1 Blade Center 2 Blade 14  |yes  |IBM powervm  |  |IBM/VIOS  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|7 | teprbk01  |EU Backup Server master and media server   |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |ETS-9179-MHB-SN06E6B85  |EU Lanscape Netbackup  |  | Pawel Tkaczyk,James Fort Robert Bieniek| 
|8 | daerdb01  |CTA ERP SAP Oracle DB/CI Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |ETS-9179-MHB-SN06E6B85  |SAP CTA Oracle DB and Web dispatcher  |  | Scott Ready, David Moris, Paul Burke,Thomas Jacob,Eric Van Asbroeck, Henk Kiewiet,David Lei,Sugar Tang,Claudio Baccaro,Eugenia de la Cruz,Edson Martos, Robin Kuhn, Inge Pinnoy, Hilde Gybels, Todd Davis| 
|9 | taprvio50  |VIO UNIX Infrastructure Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |ETS-9179-MHB-SN06E6B85  |VIOS50  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|10 | taprvio51  |VIO UNIX Infrastructure Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |ETS-9179-MHB-SN06E6B85  |VIOS51  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|11 | qaerdb01  |FTA ERP SAP Oracle DB Server and Web dispatcher  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |ETS-9179-MHB-SN06E6B85  |FTA Oracle DB Server and Web dispatcher  |  |David Morris, Todd Davis, Rick Roeber, Jake Dombrowski, Robin Kuhn, Inge Pinnoy, Paul Burke, Thomas Jacob, Luc Adons, Paul Caston, Danny Smeets| 
|12 | deerdb99  |C11 Primary C11 Oracle DB Server (Dataguard replication to deerdb98,Dev env for TA2)  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |ETS-9179-MHB-SN06E6B85  |C11 Oracle DB   |  |Paul Burke,Thomas Jacob,Eric Van Asbroeck,Peter Pallen,Thorsten Schimpf,Henk Kiewiet, David Lei,Sugar Tang,Claudio Baccaro,Eugenia de la Cruz,Edson Martos,Robin Kuhn,Inge Pinnoy,Hilde Gybels,Todd Davis,TAITIOSSapbasis| 
|13 | taqa1d01  |NA Backup Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |ETS-9179-MHB-SN06E6B85  |NA-Netbackup, Media server and amster DB server  |  | Pawel Tkaczyk,John McLean,James Fort| 
|14 | dgscdb01  |EWM SAP Oracle DB Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |IBM powervm  |ETS-9179-MHB-SN06E6B85  |SAP EWM, Oracle DB Server  |  | GIOS SAP BASIS,Chris Millner,Erica Kaplinsky,Brandon Gillespie| 
|15 | qgscdb01  |EWM SAP Oracle DB Server,Central Instance, Application Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |ETS-9179-MHB-SN06E6B85  |EWM SAP Oracle DB Server QSC, Central Instance, Application Server  |  |Jake Dombrowski| 
